"dtfc-fixed-left","dtfc-fixed-left href","rounded-circle src","coin-title","coin-symbol","number","number 2","number 3","number 4","link-blank src","link-blank src 2","btn","graph src","down","down 2","up"
"1","https://coindiscovery.app/coin/metacade71/overview","https://d2daclycywormq.cloudfront.net/production/coins/1670018655552820.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121659Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=916873f821de4f2abe7df3f89b730eb8adb921cd3f277ac1220b8c8b0661beb5","METACADE","MCADE","$0","-","-","$0","https://coindiscovery.app/img/icons/icon-eth.svg","https://coindiscovery.app/img/icons/icon-uniswap.svg","1131592","https://coindiscovery.app/img/graphs/d2.svg","","",""
"2","https://coindiscovery.app/coin/trending/overview","https://d2daclycywormq.cloudfront.net/production/coins/16701555725174040.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121659Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=29582c9f7d4b81dfe58b84512c269ead97b6f024beaf33fea4f5391d441a5cb9","TRENDING","TRD","$3","-","-","$7","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","1110625","https://coindiscovery.app/img/graphs/u1.svg","","",""
"3","https://coindiscovery.app/coin/cyber274/overview","https://d2daclycywormq.cloudfront.net/production/coins/16596523445174040.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121659Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=5bc678eb42629c2c31f7b054d497a59073fa59ff9c9e17ae2d087343c0279207","CYBER","CYBER","$0.1","-","-","$10,000","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","775118","https://coindiscovery.app/img/graphs/u3.svg","","",""
"4","https://coindiscovery.app/coin/safepluto-inu/overview","https://d2daclycywormq.cloudfront.net/production/coins/165047648819016.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=3084db2d396182b9077a4a10024f44a01869e15d4216686721e6e32568d17405","SafePluto Inu","SPI","$0.000000000006674","","","$6,595","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","642061","https://coindiscovery.app/img/graphs/d4.svg","4.3%","6.71%",""
"5","https://coindiscovery.app/coin/corgicoin-bsc/overview","https://d2daclycywormq.cloudfront.net/production/coins/img-1630143156-ss.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=bbd9986aba4a5809ffb5d5c797abd32b55601dbc26c1b7df42a12afd595046c5","CorgiCoin BSC","CORGI","$0.00003949","","","$394,919","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","552585","https://coindiscovery.app/img/graphs/u3.svg","","","0.05%"
"6","https://coindiscovery.app/coin/altsignals/overview","https://d2daclycywormq.cloudfront.net/production/coins/16781266275178088.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=e6aeddfe71e08eb6601e75ccd9dda760cb3966f854289a2d65cef02911966b44","AltSignals","ASI","$0.015","-","-","$0","https://coindiscovery.app/img/icons/icon-eth.svg","https://coindiscovery.app/img/icons/icon-uniswap.svg","523362","https://coindiscovery.app/img/graphs/u2.svg","","",""
"7","https://coindiscovery.app/coin/the-web3-project/overview","https://d2daclycywormq.cloudfront.net/production/coins/img-1645250936-ss.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=fe9a53c58cba7e9041025c66a98e11ab0b8ab2c2894a3f8486aaf9b7bbcc87bd","The Web3 Project","WEB3","$0","-","-","$0","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","502841","https://coindiscovery.app/img/graphs/d1.svg","","",""
"8","https://coindiscovery.app/coin/clear-water959/overview","https://d2daclycywormq.cloudfront.net/production/coins/16571336095172455.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=de78b80c92566301e0443a7668d9999ab15adf8033517df984ebe3d16e633f60","Clear Water","CLEAR","$0.00011","-","-","$505,000","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","442244","https://coindiscovery.app/img/graphs/u3.svg","","",""
"9","https://coindiscovery.app/coin/neki-token/overview","https://d2daclycywormq.cloudfront.net/production/coins/1655510068552820.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=3bf058e2623a7360107ea775f7e19c19d4676c6a09229655d46720a96f50384d","Neki Token","NEKI","$0","-","-","$8,744,702","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","350027","https://coindiscovery.app/img/graphs/d4.svg","","",""
"10","https://coindiscovery.app/coin/financial-piggy-token/overview","https://d2daclycywormq.cloudfront.net/production/coins/img-1646004521-fipi.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=cc488a9cd7da47243f3966cf84c5c8f1843cb341ee1c84e834c40a1a3e2bf8d5","Financial Piggy Token","FIPI","$0","-","-","$250,000","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","338858","https://coindiscovery.app/img/graphs/d2.svg","","",""
