,Unnamed: 0.1,Unnamed: 0,Links
0,0,0,https://coinmarketcap.com/currencies/bitcoin/
1,1,1,https://coinmarketcap.com/currencies/ethereum/
2,2,2,https://coinmarketcap.com/currencies/tether/
3,3,3,https://coinmarketcap.com/currencies/bnb/
4,4,4,https://coinmarketcap.com/currencies/solana/
5,5,5,https://coinmarketcap.com/currencies/xrp/
6,6,6,https://coinmarketcap.com/currencies/usd-coin/
7,7,7,https://coinmarketcap.com/currencies/cardano/
8,8,8,https://coinmarketcap.com/currencies/avalanche/
9,9,9,https://coinmarketcap.com/currencies/dogecoin/
10,10,10,https://coinmarketcap.com/currencies/tron/
11,11,11,https://coinmarketcap.com/currencies/chainlink/
12,12,12,https://coinmarketcap.com/currencies/polkadot-new/
13,13,13,https://coinmarketcap.com/currencies/polygon/
14,14,14,https://coinmarketcap.com/currencies/toncoin/
15,15,15,https://coinmarketcap.com/currencies/multi-collateral-dai/
16,16,16,https://coinmarketcap.com/currencies/internet-computer/
17,17,17,https://coinmarketcap.com/currencies/shiba-inu/
18,18,18,https://coinmarketcap.com/currencies/litecoin/
19,19,19,https://coinmarketcap.com/currencies/bitcoin-cash/
20,20,20,https://coinmarketcap.com/currencies/unus-sed-leo/
21,21,21,https://coinmarketcap.com/currencies/uniswap/
22,22,22,https://coinmarketcap.com/currencies/cosmos/
23,23,23,https://coinmarketcap.com/currencies/ethereum-classic/
24,24,24,https://coinmarketcap.com/currencies/monero/
25,25,25,https://coinmarketcap.com/currencies/aptos/
26,26,26,https://coinmarketcap.com/currencies/stellar/
27,27,27,https://coinmarketcap.com/currencies/injective/
28,28,28,https://coinmarketcap.com/currencies/okb/
29,29,29,https://coinmarketcap.com/currencies/near-protocol/
30,30,30,https://coinmarketcap.com/currencies/optimism-ethereum/
31,31,31,https://coinmarketcap.com/currencies/immutable-x/
32,32,32,https://coinmarketcap.com/currencies/celestia/
33,33,33,https://coinmarketcap.com/currencies/first-digital-usd/
34,34,34,https://coinmarketcap.com/currencies/lido-dao/
35,35,35,https://coinmarketcap.com/currencies/filecoin/
36,36,36,https://coinmarketcap.com/currencies/hedera/
37,37,37,https://coinmarketcap.com/currencies/kaspa/
38,38,38,https://coinmarketcap.com/currencies/arbitrum/
39,39,39,https://coinmarketcap.com/currencies/stacks/
40,40,40,https://coinmarketcap.com/currencies/cronos/
41,41,41,https://coinmarketcap.com/currencies/vechain/
42,42,42,https://coinmarketcap.com/currencies/maker/
43,43,43,https://coinmarketcap.com/currencies/mantle/
44,44,44,https://coinmarketcap.com/currencies/render/
45,45,45,https://coinmarketcap.com/currencies/sui/
46,46,46,https://coinmarketcap.com/currencies/thorchain/
47,47,47,https://coinmarketcap.com/currencies/sei/
48,48,48,https://coinmarketcap.com/currencies/trueusd/
49,49,49,https://coinmarketcap.com/currencies/the-graph/
50,50,50,https://coinmarketcap.com/currencies/multiversx-egld/
51,51,51,https://coinmarketcap.com/currencies/bitcoin-sv/
52,52,52,https://coinmarketcap.com/currencies/algorand/
53,53,53,https://coinmarketcap.com/currencies/ordi/
54,54,54,https://coinmarketcap.com/currencies/quant/
55,55,55,https://coinmarketcap.com/currencies/aave/
56,56,56,https://coinmarketcap.com/currencies/mina/
